'Conveyor4',maxTransportationWeight
'Conveyor3','Min. speed of the drive'
'Conveyor2',' Max.load capacity'
'Conveyor1',maxConveyingSpeed
internalElement21,'Conveyor1'
internalElement12,'Conveyor1'
externalInterface41,'ConnectionPoint'
externalInterface42,'ConnectionPoint'
externalInterface31,'ConnectionPoint'
externalInterface32,'ConnectionPoint'
externalInterface21,'ConnectionPoint'
externalInterface22,'ConnectionPoint'
internalElement51,'Conveyor4'
internalElement42,'Conveyor4'
externalInterface11,'ConnectionPoint'
externalInterface12,'ConnectionPoint'
internalElement41,'Conveyor3'
internalElement32,'Conveyor3'
internalElement31,'Conveyor2'
internalElement22,'Conveyor2'

