'Conveyor2',' Max.load capacity'
'A-','ManufactureDate'
'Conveyor1',maxConveyingSpeed
'Conveyor6',paperType
'Conveyor5',allowsPaper
'Conveyor4',maxTransportationWeight
'Conveyor3','Min. speed of the drive'
internalElement71,'Conveyor6'
internalElement62,'Conveyor6'
externalInterface21,'ConnectionPoint'
externalInterface22,'ConnectionPoint'
internalElement61,'Conveyor5'
internalElement52,'Conveyor5'
externalInterface11,'ConnectionPoint'
externalInterface12,'ConnectionPoint'
internalElement51,'Conveyor4'
internalElement42,'Conveyor4'
externalInterface61,'ConnectionPoint'
externalInterface62,'ConnectionPoint'
internalElement41,'Conveyor3'
internalElement32,'Conveyor3'
externalInterface51,'ConnectionPoint'
externalInterface52,'ConnectionPoint'
internalElement31,'Conveyor2'
internalElement22,'Conveyor2'
externalInterface41,'ConnectionPoint'
externalInterface42,'ConnectionPoint'
internalElement21,'Conveyor1'
internalElement12,'Conveyor1'
externalInterface31,'ConnectionPoint'
externalInterface32,'ConnectionPoint'

