'Conveyor1',maxConveyingSpeed
'RollerConveyor',paperType
'Conveyor4',maxTransportationWeight
'RollerConveyor',maxTransportationWeight
'Conveyor3','Min. speed of the drive'
'Conveyor2',' Max.load capacity'
externalInterface41,'ConnectionPoint'
externalInterface42,'ConnectionPoint'
internalElement11,'RollerConveyor'
internalElement12,'RollerConveyor'
externalInterface31,'ConnectionPoint'
externalInterface32,'ConnectionPoint'
internalElement61,'Conveyor4'
internalElement52,'Conveyor4'
externalInterface21,'ConnectionPoint'
externalInterface22,'ConnectionPoint'
internalElement51,'Conveyor3'
internalElement42,'Conveyor3'
externalInterface11,'ConnectionPoint'
externalInterface12,'ConnectionPoint'
internalElement41,'Conveyor2'
internalElement32,'Conveyor2'
internalElement31,'Conveyor1'
internalElement22,'Conveyor1'

