aml1:ExternalReference1,aml2:ExternalReference1
aml1:InternalElement5,aml2:InternalElement4
aml1:InstanceHierarchy1,aml2:InstanceHierarchy1
aml1:InternalElement3,aml2:InternalElement2
aml1:InternalLink1,aml2:InternalLink1
aml1:Attribute1,aml2:Attribute1
aml1:ExternalInterface1,aml2:ExternalInterface1
aml1:ExternalInterface1,aml2:ExternalInterface2
aml1:InternalElement1,aml2:InternalElement4
aml1:InternalElement1,aml2:InternalElement2
aml1:InternalElement4,aml2:InternalElement3
aml1:Attribute2,aml2:Attribute2
aml1:ExternalInterface2,aml2:ExternalInterface1
aml1:ExternalInterface2,aml2:ExternalInterface2
aml1:InternalElement2,aml2:InternalElement1

